Company Name,Laptop Name,RAM (GB),Storage Type,Storage Size (GB),Processor Company,Processor Details,Graphics Card (GB),GPU Details,Weight (kg),Screen Size (inches),OS,Laptop Type,Price (INR),,,,,,,,,,,,,
Acer,Aspire 3,8,HDD,1024,Intel,10th Gen i5,2,NVIDIA® GeForce® MX330,1.9,15.6,Windows,Notebook,49999,,,,,,,,,,,,,
Acer,Aspire 7,8,SSD,512,Intel,9thGen i5,4,NVIDIA® GeForce® GTX 1650,2.2,15.6,Windows,Gaming,58990,,,,,,,,,,,,,
Acer,Swift 3,8,SSD,512,Intel,10th Gen i5,Integrated,Intel® Iris® Plus Graphics,1.2,13.5,Windows,Notebook,64999,,,,,,,,,,,,,
Acer,Aspire 5,8,SSD,512,Intel,10th Gen i5,2,NVIDIA® GeForce® MX350,2.2,14,Windows,Notebook,57990,,,,,,,,,,,,,
Acer,Swift 3,8,SSD,512,Intel,10th Gen i5,2,NVIDIA® GeForce® MX250,1.5,14,Windows,Notebook,67999,,,,,,,,,,,,,
Acer,Aspire 5,8,SSD,512,Intel,10th Gen i5,2,NVIDIA® GeForce® MX250,2.2,15.6,Windows,Notebook,58990,,,,,,,,,,,,,
Acer,Swift 3,8,SSD,512,Intel,10th Gen i5,Integrated,Intel® UHD Graphics,1.5,14,Windows,Notebook,59990,,,,,,,,,,,,,
Acer,Swift 5,8,SSD,512,Intel,10th Gen i5,Integrated,Intel® UHD Graphics,1,14,Windows,Notebook,69999,,,,,,,,,,,,,
Acer,Nitro 5,8,HDD,1024,Intel,9th Gen i5,4,NVIDIA® GeForce® GTX 1650,2.3,15.6,Windows,Notebook,72999,,,,,,,,,,,,,
Acer,Predator Triton 300,8,SSD,512,Intel,10th Gen i5,4,NVIDIA® GeForce® GTX 1650 Ti,2.3,15.6,Windows,Gaming,89999,,,,,,,,,,,,,
Acer,Predator Helios 300,16,SSD+HDD,256+1024,Intel,10th Gen i5,6,NVIDIA® GeForce® RTX 2060,2.5,15.6,Windows,Gaming,109999,,,,,,,,,,,,,
Acer,Nitro 5,8,SSD+HDD,256+1024,Intel,10th Gen i5,4,NVIDIA® GeForce® GTX 1650 Ti,2.3,15.6,Windows,Gaming,94999,,,,,,,,,,,,,
Acer,Aspire 5,8,SSD,512,Intel,10th Gen i5,Integrated,Intel® UHD Graphics,2.2,14,Windows,Notebook,54999,,,,,,,,,,,,,
Acer,Travelmate,8,HDD,1024,Intel,10th Gen i5,Integrated,Intel® UHD Graphics,1.6,14,Windows,Notebook,54990,,,,,,,,,,,,,
Acer,Predator Triton 300,8,SSD+HDD,256+1024,Intel,9th Gen i5,4,NVIDIA® GeForce® GTX 1650,2.3,15.6,Windows,Gaming,78490,,,,,,,,,,,,,
Acer,Swift 3,8,SSD,512,Intel,10th Gen i5,2,NVIDIA® GeForce® MX250,1.5,14,Windows,Notebook,64999,,,,,,,,,,,,,
Acer,ConceptD 5,8,SSD,512,Intel,10th Gen i5,4,AMD Radeon™ RX Vega M GL,1.5,15.6,Windows,Notebook,99990,,,,,,,,,,,,,
Acer,Swift 3,8,SSD,256,Intel,10th Gen i5,2,NVIDIA GeForce MX150,1.5,14,Windows,Notebook,54990,,,,,,,,,,,,,
Acer,ConceptD 5,16,SSD,1024,Intel,10th Gen i5,4,AMD Radeon™ RX Vega M GL,1.5,15.6,Windows,Notebook,114990,,,,,,,,,,,,,
Acer,Nitro 5,8,SSD+HDD,256+1024,Intel,10th Gen i5,4,NVIDIA® GeForce® GTX 1650,2.3,15.6,Windows,Gaming,74490,,,,,,,,,,,,,
Acer,Nitro 5,8,SSD+HDD,256+1024,Intel,9th Gen i5,4,NVIDIA® GeForce® GTX 1650,2.3,15.6,Windows,Gaming,65490,,,,,,,,,,,,,
Acer,Predator Helios 300,8,SSD+HDD,128+1024,Intel,8TH Gen i5,4,NVIDIA GTX 1050Ti,2.5,15.6,Windows,Gaming,67290,,,,,,,,,,,,,
Acer,Nitro 5,8,SSD+HDD,256+1024,Intel,10th Gen i5,4,NVIDIA® GeForce® GTX 1650 Ti,2.3,15.6,Windows,Gaming,79999,,,,,,,,,,,,,
